/usr/local/lib/python3.7/dist-packages/scipy/sparse/sputils.py:23: DeprecationWarning: `np.typeDict` is a deprecated alias for `np.sctypeDict`.
  supported_dtypes = [np.typeDict[x] for x in supported_dtypes]
/usr/local/lib/python3.7/dist-packages/scipy/special/orthogonal.py:81: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  from numpy import (exp, inf, pi, sqrt, floor, sin, cos, around, int,
/usr/local/lib/python3.7/dist-packages/scipy/linalg/__init__.py:212: DeprecationWarning: The module numpy.dual is deprecated.  Instead of using dual, use the functions directly from numpy or scipy.
  from numpy.dual import register_func
Namespace(adam_epsilon=1e-08, batch_size=96, device='gpu', enable_addto=False, gradient_merge_steps=88, input_dir='./data/wikicorpus_en_seqlen128', learning_rate=5e-05, logging_steps=10, max_grad_norm=1.0, max_predictions_per_seq=80, max_steps=500, model_name_or_path='bert-base-uncased', model_type='bert', output_dir='./tmp2/', profiler_options=None, save_steps=20000, scale_loss=32768, seed=42, use_amp=0, use_pure_fp16=False, warmup_steps=0, weight_decay=0.0)
server not ready, wait 3 sec to retry...
not ready endpoints:['10.10.0.1:60002', '10.10.0.1:60003', '10.10.0.1:60004', '10.10.0.1:60005', '10.10.0.1:60006', '10.10.0.1:60007', '10.10.0.1:60008']
server not ready, wait 3 sec to retry...
not ready endpoints:['10.10.0.1:60002', '10.10.0.1:60003', '10.10.0.1:60004', '10.10.0.1:60005', '10.10.0.1:60006', '10.10.0.1:60007', '10.10.0.1:60008']
W0601 07:26:25.089543  3417 gpu_context.cc:278] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 11.4, Runtime API Version: 11.2
W0601 07:26:25.093318  3417 gpu_context.cc:306] device: 0, cuDNN Version: 8.1.
NCCL version 2.8.4+cuda11.0
W0601 07:26:38.052109  3417 build_strategy.cc:123] Currently, fuse_broadcast_ops only works under Reduce mode.
W0601 07:26:38.251006  3417 fuse_all_reduce_op_pass.cc:76] Find all_reduce operators: 206. To make the speed faster, some all_reduce ops are fused during training, after fusion, the number of all_reduce ops is 20.
tobal step: 10, epoch: 0, batch: 9, loss: 11.246871, avg_reader_cost: 0.05369 sec, avg_batch_cost: 0.82948 sec, avg_samples: 96.00000, ips: 108.69973 sequences/sec
tobal step: 20, epoch: 0, batch: 19, loss: 11.161523, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.59447 sec, avg_samples: 96.00000, ips: 161.45989 sequences/sec
tobal step: 30, epoch: 0, batch: 29, loss: 11.215019, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.59585 sec, avg_samples: 96.00000, ips: 161.08320 sequences/sec
tobal step: 40, epoch: 0, batch: 39, loss: 11.188222, avg_reader_cost: 0.00015 sec, avg_batch_cost: 0.59730 sec, avg_samples: 96.00000, ips: 160.68253 sequences/sec
tobal step: 50, epoch: 0, batch: 49, loss: 11.259479, avg_reader_cost: 0.00012 sec, avg_batch_cost: 0.59542 sec, avg_samples: 96.00000, ips: 161.19721 sequences/sec
tobal step: 60, epoch: 0, batch: 59, loss: 11.194427, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.59639 sec, avg_samples: 96.00000, ips: 160.94013 sequences/sec
tobal step: 70, epoch: 0, batch: 69, loss: 11.239295, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.59567 sec, avg_samples: 96.00000, ips: 161.13761 sequences/sec
tobal step: 80, epoch: 0, batch: 79, loss: 11.227909, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.59643 sec, avg_samples: 96.00000, ips: 160.93008 sequences/sec
tobal step: 90, epoch: 0, batch: 89, loss: 11.300495, avg_reader_cost: 0.00010 sec, avg_batch_cost: 1.37611 sec, avg_samples: 96.00000, ips: 69.75663 sequences/sec
tobal step: 100, epoch: 0, batch: 99, loss: 11.145604, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.59480 sec, avg_samples: 96.00000, ips: 161.37289 sequences/sec
tobal step: 110, epoch: 0, batch: 109, loss: 11.148562, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.59635 sec, avg_samples: 96.00000, ips: 160.95051 sequences/sec
tobal step: 120, epoch: 0, batch: 119, loss: 11.212790, avg_reader_cost: 0.00010 sec, avg_batch_cost: 0.59676 sec, avg_samples: 96.00000, ips: 160.84226 sequences/sec
tobal step: 130, epoch: 0, batch: 129, loss: 11.174894, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.59796 sec, avg_samples: 96.00000, ips: 160.51778 sequences/sec
tobal step: 140, epoch: 0, batch: 139, loss: 11.275307, avg_reader_cost: 0.00011 sec, avg_batch_cost: 0.59720 sec, avg_samples: 96.00000, ips: 160.72005 sequences/sec
