Namespace(adam_epsilon=1e-06, batch_size=32, device='gpu', enable_addto=False, gradient_merge_steps=1, input_dir='./wikicorpus_en_seqlen128', learning_rate=0.0001, logging_steps=10, max_grad_norm=1.0, max_predictions_per_seq=20, max_steps=500, model_name_or_path='bert-base-uncased', model_type='bert', output_dir='./tmp2/', save_steps=20000, scale_loss=32768, seed=42, use_amp=0, use_pure_fp16=False, warmup_steps=10000, weight_decay=0.01)
[32m[2021-12-27 14:44:07,264] [    INFO][0m - Already cached /root/.paddlenlp/models/bert-base-uncased/bert-base-uncased-vocab.txt[0m
W1227 14:44:08.793514 32779 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 11.2, Runtime API Version: 11.2
W1227 14:44:08.799170 32779 device_context.cc:465] device: 0, cuDNN Version: 8.1.
W1227 14:44:19.333365 32779 build_strategy.cc:110] Currently, fuse_broadcast_ops only works under Reduce mode.
tobal step: 10, epoch: 0, batch: 9, loss: 11.216731, avg_reader_cost: 0.06524 sec, avg_batch_cost: 0.27767 sec, avg_samples: 32.00000, ips: 115.24558 sequences/sec
tobal step: 20, epoch: 0, batch: 19, loss: 11.213381, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.20108 sec, avg_samples: 32.00000, ips: 159.13944 sequences/sec
tobal step: 30, epoch: 0, batch: 29, loss: 11.155856, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.20100 sec, avg_samples: 32.00000, ips: 159.20336 sequences/sec
tobal step: 40, epoch: 0, batch: 39, loss: 11.106874, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.20163 sec, avg_samples: 32.00000, ips: 158.71032 sequences/sec
tobal step: 50, epoch: 0, batch: 49, loss: 11.032982, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.20214 sec, avg_samples: 32.00000, ips: 158.30230 sequences/sec
tobal step: 60, epoch: 0, batch: 59, loss: 10.958982, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.20280 sec, avg_samples: 32.00000, ips: 157.79374 sequences/sec
tobal step: 70, epoch: 0, batch: 69, loss: 10.914433, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.20255 sec, avg_samples: 32.00000, ips: 157.98912 sequences/sec
tobal step: 80, epoch: 0, batch: 79, loss: 10.801018, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.20211 sec, avg_samples: 32.00000, ips: 158.32779 sequences/sec
tobal step: 90, epoch: 0, batch: 89, loss: 10.736662, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.20272 sec, avg_samples: 32.00000, ips: 157.85422 sequences/sec
tobal step: 100, epoch: 0, batch: 99, loss: 10.632930, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.20255 sec, avg_samples: 32.00000, ips: 157.98718 sequences/sec
tobal step: 110, epoch: 0, batch: 109, loss: 10.495393, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.20246 sec, avg_samples: 32.00000, ips: 158.05476 sequences/sec
tobal step: 120, epoch: 0, batch: 119, loss: 10.454319, avg_reader_cost: 0.00007 sec, avg_batch_cost: 0.20259 sec, avg_samples: 32.00000, ips: 157.95286 sequences/sec
tobal step: 130, epoch: 0, batch: 129, loss: 10.343032, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.20326 sec, avg_samples: 32.00000, ips: 157.43520 sequences/sec
tobal step: 140, epoch: 0, batch: 139, loss: 10.265886, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.20389 sec, avg_samples: 32.00000, ips: 156.94762 sequences/sec
tobal step: 150, epoch: 0, batch: 149, loss: 10.351592, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.20286 sec, avg_samples: 32.00000, ips: 157.74365 sequences/sec
tobal step: 160, epoch: 0, batch: 159, loss: 10.083088, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.20357 sec, avg_samples: 32.00000, ips: 157.19666 sequences/sec
tobal step: 170, epoch: 0, batch: 169, loss: 10.115826, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.20356 sec, avg_samples: 32.00000, ips: 157.19923 sequences/sec
tobal step: 180, epoch: 0, batch: 179, loss: 10.158333, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.20331 sec, avg_samples: 32.00000, ips: 157.39403 sequences/sec
tobal step: 190, epoch: 0, batch: 189, loss: 10.047274, avg_reader_cost: 0.00006 sec, avg_batch_cost: 0.20303 sec, avg_samples: 32.00000, ips: 157.60974 sequences/sec
tobal step: 200, epoch: 0, batch: 199, loss: 10.068660, avg_reader_cost: 0.00008 sec, avg_batch_cost: 0.20338 sec, avg_samples: 32.00000, ips: 157.33744 sequences/sec
